id,iban,bic,opening_date,closing_date,owner_id
163,FR55550009381381MP568817K72,OCLZGQCV,2023-04-03T04:33:44+02:00,,163
164,FR70131311968220H9463809B50,GPPQSLTX,2005-01-28T00:43:31+01:00,,164
165,FR7829124003059W52175454328,MUDCBH0K,2020-03-14T03:15:08+01:00,,165
166,FR7409500166346704F25F36060,GTECCVAS,2004-04-24T14:41:16+02:00,,166
167,FR8395942449035L9D46989H486,JFOUUGVY,2023-06-26T18:57:30+02:00,,167
168,FR287450868149UIHD52U825C91,WEJJGQUK,2023-04-19T03:29:13+02:00,2023-12-18T10:21:44+01:00,168
169,FR830064527322499766508X701,REJGMAWN,2012-12-18T02:34:23+01:00,2023-12-15T01:45:06+01:00,169
170,FR3614087995384018859832967,JNIRPRW0,2006-08-01T02:01:21+02:00,,170
171,FR846041043446063405660S988,FXYACVR7,2008-07-23T03:53:18+02:00,,171
172,FR750625007072NI66324740493,RKQEKEOW,2013-10-28T13:20:07+01:00,,172
173,FR490402961647591521U8Y1514,INXHPH46,2016-03-24T05:43:52+01:00,,173
174,FR8800511569867469539998481,DFOYISYV,2016-06-02T06:20:51+02:00,,174
175,FR510037531008240E99OE36724,ATXKMMHO,2010-08-07T20:42:42+02:00,,175
176,FR2601061889603F29553111Z01,UJGGBDRI,2023-09-12T16:14:40+02:00,,176
177,FR880120060090908928852U898,FHHLEHQO,2017-04-01T22:41:58+02:00,,177
178,FR3871908117443753072652616,NNKJBJJ5,2022-02-16T02:47:54+01:00,,178
179,FR0908188709985U7K60P89O015,WFWTGAGJ,2009-05-25T10:00:56+02:00,,179
180,FR1860700180039848812219519,FDSCDM0U,2018-11-27T22:19:45+01:00,,180
181,FR955008094754825531586T402,VQHCYEN2,2007-02-07T08:43:13+01:00,,181
182,FR826070005099Y019136H17532,BDCJGLLN,2022-08-07T09:54:30+02:00,,182
183,FR818004027018780XZ3H4L0051,KJTWTJQU,2006-05-27T19:08:31+02:00,,183
184,FR64600690080002C51072H5345,VUKWHT1U,2015-03-22T23:30:58+01:00,,184
185,FR83299058057782025Q13Y0776,TRYJJEJN,2008-10-09T05:54:53+02:00,,185
186,FR534040330011667I8901N4134,IDBVCUDN,2017-04-13T01:24:32+02:00,,186
187,FR3479622203980401373D72095,TIDZDZV1,2004-02-21T02:58:18+01:00,,187
188,FR47900800857667886YR666858,VFEIEE9F,2018-09-29T20:47:13+02:00,,188
189,FR430670006663171NY45474145,EUTJCWMY,2010-01-05T04:32:16+01:00,,189
190,FR88910793386670789OL7FI282,SGHDSGTE,2012-07-08T05:12:54+02:00,2023-12-24T08:31:40+01:00,190
191,FR083920070776796O3X8173416,TQVYKEU4,2013-12-01T02:53:16+01:00,,191
192,FR52404004542665056569B5540,BWWNFRRR,2018-01-11T09:21:31+01:00,,192
193,FR462010070085750A124002846,CJQHRUIW,2013-07-09T13:27:57+02:00,,193
194,FR6823770286200HF2D57104035,XPVXBI28,2005-03-26T08:45:03+01:00,,194
195,FR809513002556327525N935444,CWPJPAZV,2006-09-25T05:05:12+02:00,2023-12-26T00:31:27+01:00,195
196,FR526804200094852Z30F222120,FQMIGYAY,2016-04-19T07:29:48+02:00,,196
197,FR56540066990262S6535739309,LXAWFRAN,2010-08-23T20:41:07+02:00,2023-12-27T10:48:16+01:00,197
198,FR420470081124790FE32E04056,QRTRIMKH,2013-05-14T06:00:09+02:00,,198
199,FR910028790009592X6K507Y668,TDJSTF9R,2010-10-16T14:52:34+02:00,,199
200,FR585007970300993289I2NI395,WSQVLTN0,2017-08-21T03:32:09+02:00,,200
201,FR402200468690852D6694R6688,CHAHMSP7,2004-06-20T04:20:06+02:00,,201
202,FR9301863326505581229691858,LZANFONB,2009-10-17T21:14:12+02:00,,202
203,FR9106703160693746806567233,HGLHESXH,2018-11-10T18:36:32+01:00,,203
204,FR86420041016794FU4J1505D02,AISKAIJV,2010-11-09T06:07:02+01:00,,204
205,FR3317003180787Q76178458014,PJFUKWEP,2022-10-15T16:12:57+02:00,,205
206,FR277303510763774105K021B71,DHXVISED,2005-07-01T17:51:43+02:00,,206
207,FR9447081218946669161037108,XFXTNCI1,2018-09-25T04:40:05+02:00,,207
208,FR8331002600681120583619621,IXFEDOQ1,2007-01-18T11:09:03+01:00,,208
209,FR930014081885BB8N47C8AF682,RMVNOMQQ,2013-01-06T16:58:40+01:00,,209
210,FR370010581038GZ2N5OK189071,HQEKGMSO,2004-09-08T18:24:15+02:00,,210
211,FR79260400849511174S6C95791,PIPZPS7R,2020-04-03T02:55:27+02:00,,211
212,FR7205809710757Z4159AOA1093,IZJZNC6S,2014-03-23T23:49:12+01:00,,212
213,FR240079030403133M694641995,HAPXAG5J,2019-08-23T22:39:36+02:00,,213
214,FR48280248709800758074V8049,LDNJAUFY,2022-01-14T07:49:27+01:00,,214
215,FR5493446007676323263861733,LWUJFMYJ,2010-08-14T13:28:44+02:00,,215
216,FR073147060027820878N004883,VPWHCU2O,2023-03-12T13:35:26+01:00,,216
217,FR1534006484045P82060029629,LMEBLSN5,2011-08-22T09:36:55+02:00,,217
218,FR3540240044316221690U66266,XLDPSD4Q,2023-04-25T16:48:08+02:00,,218
219,FR07602001924270M664217Q401,JWFBKMR4,2016-06-30T05:09:51+02:00,2023-12-26T04:41:49+01:00,219
220,FR5701660010085R32WP2W06602,JFATSVS3,2011-05-30T04:16:10+02:00,,220
221,FR763046064934NX79114424355,IZMJAOB1,2019-02-26T13:11:46+01:00,2024-01-08T18:34:37+01:00,221
222,FR81098210096866K8878752I40,ZXFTGDKJ,2022-01-10T15:24:09+01:00,,222
223,FR229100631002721165H758695,NADJRWB4,2009-05-20T13:25:20+02:00,2023-12-28T18:58:47+01:00,223
224,FR560790655645E4311FM248516,DUPKSRUB,2022-02-04T06:47:29+01:00,,224
225,FR7364545052851M32259914154,UHTJVCR1,2010-11-11T10:53:04+01:00,,225
226,FR076050068017I3H694T564P34,QMCQMOBO,2018-05-08T18:21:50+02:00,,226
227,FR965702007912859W403K50785,JUSUXK8E,2015-11-05T06:39:06+01:00,,227
228,FR9451800240032363811U15552,UAZVPLTW,2006-02-09T11:33:27+01:00,,228
229,FR875006004334472LS93475605,KILOKN5Z,2021-07-20T14:32:27+02:00,,229
230,FR5403500770064D965052S1011,IGWOIQQ7,2016-12-28T16:15:35+01:00,,230
231,FR500066007018737265F440586,BKGLEENH,2019-05-05T16:33:11+02:00,,231
232,FR4107027530302573337616226,JTZGCFU5,2006-03-25T15:24:39+01:00,,232
233,FR3367910028459474117O61Z13,UQJSCAY5,2006-03-09T14:57:24+01:00,,233
234,FR660015001188N557544906Q79,FYYGYELX,2004-04-18T03:01:51+02:00,,234
235,FR9008350120639928I74714897,VNZABTLD,2020-08-19T14:21:30+02:00,2024-01-04T11:54:44+01:00,235
236,FR386079854171R089FA1015774,QIXEBIYH,2019-10-16T18:59:46+02:00,,236
237,FR0929720891103914756684172,ZGSQLTY6,2021-12-27T05:39:05+01:00,,237
238,FR72841008407663C9P15377980,INBPSXAY,2023-06-22T06:45:11+02:00,,238
239,FR8400700100109882200103969,AVOLGQI8,2010-02-24T23:23:02+01:00,,239
240,FR12003800916168E5574643414,TOENJPC9,2011-10-10T11:48:33+02:00,,240
241,FR5602691806881639296A91053,KDJTEC3I,2017-09-29T21:07:45+02:00,,241
242,FR7150947009429O3093Y559088,JQPJFR5C,2022-05-06T01:54:39+02:00,,242
243,FR780077997804796N93U312771,EWRZCUGV,2023-01-21T12:29:43+01:00,2023-12-22T23:58:07+01:00,243
244,FR428006033859TDL9484748941,KUFJGD47,2008-01-22T06:30:38+01:00,,244
245,FR6723003861994300548G10032,XNKJVAFV,2005-09-13T13:58:11+02:00,,245
246,FR6309090602121M9C48Z266238,ZOCNFI06,2012-05-31T13:53:58+02:00,2023-12-21T04:34:27+01:00,246
247,FR66900470024322071403X9621,FWSLEGY9,2006-05-11T00:21:34+02:00,,247
248,FR39976550074918S138963EV77,GDRUMWI0,2013-06-20T21:58:36+02:00,,248
249,FR277933206292651547P508412,PABMJOEY,2016-05-15T10:44:40+02:00,,249
250,FR050502300323I176FE0623965,CJVTAR0M,2017-05-30T17:39:55+02:00,,250
251,FR5126007401524298366157E07,VKSUMF58,2014-05-11T00:40:03+02:00,,251
252,FR320029030385T89193V70E137,UWGYAFBT,2007-09-23T05:51:45+02:00,,252
253,FR810200736073405383896D221,NDNZEH89,2016-06-30T04:22:59+02:00,2023-12-21T10:08:09+01:00,253
254,FR430700077004S22456U449399,MMSHFOA5,2014-08-01T08:14:32+02:00,,254
255,FR6720080084296526W0S479292,OEQSTKPD,2016-05-14T15:49:03+02:00,,255
256,FR81052129007223Q0A69936264,MFJOTOQR,2006-07-10T03:32:55+02:00,,256
257,FR19528612996601X97V9W35208,NUNUGNSB,2011-01-05T10:43:12+01:00,,257
258,FR1800380045398454653B23249,HJSKGFHU,2020-12-28T22:58:11+01:00,,258
259,FR567060315009865159A446884,DXTQGLZE,2006-08-03T05:27:09+02:00,,259
260,FR9500090171775468R18824J55,FGHBNE95,2021-09-21T21:18:09+02:00,,260
261,FR66789252002203B1E05160003,AMCCCCG6,2020-01-23T16:51:16+01:00,,261
262,FR3801647250082448746814214,RAMBADWB,2021-05-01T11:16:18+02:00,,262
263,FR4300504470360324V12259263,QHDIIDDF,2021-09-28T08:57:15+02:00,,263
264,FR82700928476955HYI6G178751,TGRDML24,2022-10-07T14:16:54+02:00,,264
265,FR88009070018773736Z4771V48,UBWICFGO,2019-06-22T06:29:51+02:00,,265
266,FR69010215006205107B40H1509,CCFMNR8Q,2013-02-17T12:33:15+01:00,,266
267,FR040764007203336W75N776260,FDCVGLG6,2017-04-26T10:27:42+02:00,,267
268,FR400600700600238S469N84290,GYKLMSDO,2021-08-02T20:36:27+02:00,,268
269,FR5680736060249626116457205,DUYXFONA,2011-12-25T21:28:48+01:00,,269
270,FR3392002494779T6146771VM22,FYZASC47,2021-04-16T06:06:26+02:00,2023-12-13T07:07:14+01:00,270
271,FR9216321249594W958176SO259,DUGYCIC0,2015-08-14T03:56:24+02:00,,271
272,FR37400300600656F053X5Z8G10,CCATUSV6,2014-07-29T11:41:51+02:00,,272
273,FR15088700600551NO055189Y91,CCQHKW10,2014-07-20T20:59:53+02:00,,273
274,FR27078075011097289105P3135,MMAAAG2C,2007-05-07T16:37:55+02:00,2023-12-31T16:21:24+01:00,274
275,FR4000220063977V689T1Q67996,TQIOIMWA,2008-06-05T21:10:19+02:00,,275
276,FR657007473508148CX62991934,MUOISMTU,2019-06-09T19:28:56+02:00,,276
277,FR890730036609745S69932K243,ONXKCMRQ,2023-05-20T21:50:54+02:00,,277
278,FR6582856809013C8DV550W9401,AALAPF75,2005-05-24T05:02:12+02:00,2024-01-07T06:10:21+01:00,278
279,FR486091227050A665X56B12631,PNHTCLVW,2017-02-23T05:49:31+01:00,,279
280,FR5890600944345614471796216,IUOYTCG1,2012-03-28T08:17:18+02:00,,280
281,FR750010133864310565D671V81,MTJMVGS8,2017-09-24T20:47:33+02:00,,281
282,FR670071900674I1K299Y169039,BICUTVOC,2019-03-07T05:14:42+01:00,,282
283,FR98262577438797827Q0020126,EOBRIT4I,2005-02-25T12:31:44+01:00,,283
284,FR810880087320TW70P7MB75532,WMUNUG7S,2005-03-15T22:19:16+01:00,,284
285,FR6467909410917O13062996358,UNHAIQKM,2009-09-08T16:55:32+02:00,,285
286,FR093500707500FG3R15XR76573,KJSDZAFG,2022-08-27T12:59:04+02:00,,286
287,FR580060791294393584H748356,XDNHCURX,2018-04-09T23:49:28+02:00,,287
288,FR74275019808100KA557803710,FACNHUQE,2021-06-18T20:08:54+02:00,,288
289,FR910017993160Q4065V0901304,PYTVPTFM,2014-07-22T13:40:27+02:00,,289
290,FR10012300069053F0231449641,VJETBJDZ,2020-06-20T02:57:56+02:00,,290
291,FR5178047160238965B57659280,UHQWMR91,2012-03-04T10:59:20+01:00,,291
292,FR1890009197952980313975087,BSAJAIV5,2020-10-20T19:35:18+02:00,,292
293,FR457360017036V4R1461953277,UCXYBNE8,2021-03-21T09:25:18+01:00,,293
294,FR8934223907464629224393852,ZLZDHUWU,2011-10-21T19:40:53+02:00,2023-12-15T12:15:08+01:00,294
295,FR45700080656378B1764435973,JSOZMNQ9,2022-10-13T11:00:47+02:00,,295
296,FR532020060945I875755347462,DCLSSGTG,2021-03-29T09:11:22+02:00,,296
297,FR760800970093P7883S8791238,SXXBSGNN,2005-01-10T05:45:57+01:00,,297
298,FR324700090089484F0M666VH47,OSRJBGMS,2004-03-16T07:22:40+01:00,,298
299,FR34843276098238673O1053467,QJUDGB8K,2018-07-21T07:33:46+02:00,,299
300,FR41645600143492573238C4O43,QCVUVU27,2019-07-31T12:37:31+02:00,,300
